diagnostic_type,state_mode,fee_rate,strategy_name,segment_name,segment_start_date,segment_end_date,segment_days,segment_total_return,segment_annualized_return,segment_max_drawdown,segment_sharpe,segment_total_turnover,segment_average_exposure,segment_total_fee_cost,segment_trade_count,segment_average_drawdown,segment_pct_position_gt_0,segment_pct_position_gt_0_05,segment_pct_position_gt_0_10,segment_pct_position_gt_0_20,segment_pct_rho_gt_0_5,segment_trend_persistence_gate_mean,segment_trend_persistence_gate_median,segment_pct_gate_eq_0,segment_pct_gate_gt_0,segment_pct_gate_gt_0_5,segment_base_exposure_C_mean,segment_base_exposure_E_mean,segment_exposure_reduction_from_gate_mean,gross_position_return,net_strategy_return,total_fee_cost,fee_drag,average_position_when_market_return_negative,average_position_when_market_return_positive,total_pnl_from_negative_return_days,total_pnl_from_positive_return_days
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.0760275099778881,-0.03876512234412144,0.1313630067427639,-0.34407234766784056,13.509844666403971,0.06891128155689585,0.0,320.0,0.08795939885676508,0.4123287671232877,0.363013698630137,0.27945205479452057,0.14657534246575343,0.3452054794520548,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06895147136317224,-0.0760275099778881,0.0,0.007076038614715854,0.07515750338470824,0.06273313844110323,-0.7672358270578103,0.6982843556946381
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19567940859780242,0.06138167061133193,0.14223571474992824,0.6998203709210274,18.899570330202103,0.07658699260508772,0.0,522.0,0.09654323642794187,0.4392694063926941,0.3698630136986301,0.3013698630136986,0.14520547945205478,0.5251141552511416,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.19108529710108957,0.19567940859780242,0.0,-0.004594111496712849,0.07517333500720563,0.07795742685914965,-0.9238328006849986,1.1149180977860884
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10477488043027772,0.02012821177896562,0.14223571474992824,0.25758568531000386,32.409414996606074,0.07351670818581098,0.0,842.0,0.09310970139947115,0.4284931506849315,0.36712328767123287,0.2926027397260274,0.14575342465753424,0.45315068493150684,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.12213382573791735,0.10477488043027772,0.0,0.017358945307639637,0.07516696374449326,0.07190399906995892,-1.6910686277428089,1.8132024534807265
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.07579753427853164,-0.03864550465425687,0.13084034300447434,-0.34319113645363974,13.354775526735288,0.06903845259761346,0.0,275.0,0.0876979716758526,0.40684931506849314,0.363013698630137,0.27945205479452057,0.14794520547945206,0.3424657534246575,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06871904329902484,-0.07579753427853164,0.0,0.007078490979506802,0.07532699645195301,0.06281844873078712,-0.7670424043790175,0.6983233610799926
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.192649662210729,0.060484429761324066,0.1420815497821023,0.691777475532133,18.35745280052502,0.07653187353930813,0.0,417.0,0.0967015899407587,0.5031963470319635,0.3680365296803653,0.30319634703196346,0.14703196347031963,0.5278538812785388,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.18849758804587552,0.192649662210729,0.0,-0.00415207416485347,0.07513686841392979,0.0778842256302774,-0.9240037224095305,1.1125013104554062
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10224975855703211,0.019661454899975617,0.1420815497821023,0.25300165257496243,31.71222832726031,0.07353450516263024,0.0,692.0,0.09310014263479625,0.46465753424657535,0.36602739726027395,0.2936986301369863,0.1473972602739726,0.4536986301369863,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.11977854474685072,0.10224975855703211,0.0,0.01752878618981861,0.07521338335606109,0.07189382463123847,-1.6910461267885482,1.8108246715353988
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_E,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.055854478230751514,-0.028328490811195706,0.13576499367340533,-0.31643618984026123,8.852331109815234,0.05095069864046449,0.0,256.0,0.08090291917651997,0.33424657534246577,0.27123287671232876,0.20136986301369864,0.10821917808219178,0.3726027397260274,0.26430159329244296,0.0,0.6438356164383562,0.3561643835616438,0.2821917808219178,0.17986322364883964,0.1347787210509038,0.0450845025979358,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_E,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.05096324925836818,-0.055854478230751514,0.0,0.004891228972383331,0.05729271165477218,0.044677808383805924,-0.5535351804322446,0.5025719311738766
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_E,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.12304620271385236,0.03943947936322734,0.13546680210361584,0.5268604741060143,11.474467810847756,0.0581242501476138,0.0,380.0,0.0956142779096169,0.3278538812785388,0.27945205479452057,0.24292237442922374,0.11598173515981736,0.5853881278538813,0.27257113743854566,0.0,0.6566210045662101,0.34337899543378997,0.28036529680365296,0.19936731330664165,0.1564662649246323,0.042901048382009366,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_E,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.1254573457996404,0.12304620271385236,0.0,0.002411143085788048,0.05707188707722825,0.0591444366493005,-0.7219397852586353,0.8473971310582757
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_E,ETH_5y_full,2021-05-18,2026-05-16,1825,0.060319043032243336,0.011782846584305284,0.13576499367340533,0.18657127789397238,20.326798920662988,0.05525482954475407,0.0,636.0,0.08972973441637815,0.3304109589041096,0.27616438356164386,0.2263013698630137,0.11287671232876713,0.5002739726027398,0.2692633197801046,0.0,0.6515068493150685,0.34849315068493153,0.2810958904109589,0.19156567744352085,0.1477912473751409,0.04377443006837994,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_E,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.07449409654127223,0.060319043032243336,0.0,0.014175053509028895,0.057160755504776416,0.05339226701394133,-1.2754749656908801,1.3499690622321523
segment_metrics,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.44490039634304246,-0.25494993211398365,0.7930253453633334,0.10274739407227075,0.0,1.0,0.0,0.0,0.46977675565264493,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,0.17896882028160732,-0.44490039634304246,0.0,0.6238692166246498,1.0,1.0,-11.730490544480467,11.909459364762077
segment_metrics,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19790134568524587,0.06203872075346961,0.6935490580243677,0.41454423275220087,0.0,1.0,0.0,0.0,0.43510677486409105,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.8087453625948278,0.19790134568524587,0.0,0.6108440169095819,1.0,1.0,-12.378185469971548,13.186930832566375
segment_metrics,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,-0.33504543778998397,-0.07836619932451394,0.7930253453633334,0.2646495106534417,0.0,1.0,0.0,0.0,0.4489747671795126,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.9877141828764351,-0.33504543778998397,0.0,1.3227596206664192,1.0,1.0,-24.108676014452016,25.09639019732845
segment_metrics,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.1085258250785669,-0.055820898917248285,0.5193367154482997,0.08658107045245496,0.5,0.49931506849315066,0.0,1.0,0.2547113348615249,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,0.07538544319173113,-0.1085258250785669,0.0,0.18391126827029802,0.5,0.4986376021798365,-5.865245272240234,5.940630715431966
segment_metrics,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.279773886054133,0.08570310873977882,0.3778080637128193,0.4145442327521984,0.0,0.5,0.0,0.0,0.18603651563897214,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.4043726812974139,0.279773886054133,0.0,0.12459879524328088,0.5,0.5,-6.189092734985774,6.593465416283188
segment_metrics,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,0.14088536915610428,0.026711442424711462,0.5193367154482997,0.2571294259174581,0.5,0.4997260273972603,0.0,1.0,0.21350644332799326,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.479758124489145,0.14088536915610428,0.0,0.33887275533304073,0.5,0.49945828819068255,-12.054338007226008,12.534096131715152
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.0760275099778881,-0.03876512234412144,0.1313630067427639,-0.34407234766784056,13.509844666403971,0.06891128155689585,0.0,320.0,0.08795939885676508,0.4123287671232877,0.363013698630137,0.27945205479452057,0.14657534246575343,0.3452054794520548,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06895147136317224,-0.0760275099778881,0.0,0.007076038614715854,0.07515750338470824,0.06273313844110323,-0.7672358270578103,0.6982843556946381
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.24068662486719483,0.07453533185848071,0.11367895280253404,0.7514892344961351,22.829940478768595,0.09021547523451563,0.0,522.0,0.07212620992949778,0.44018264840182647,0.3789954337899543,0.32146118721461187,0.1917808219178082,0.28127853881278536,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.2313565831955267,0.24068662486719483,0.0,-0.009330041671668121,0.08827737289561467,0.09209431904866602,-1.052297547502124,1.2836541306976506
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10477488043027772,0.02012821177896562,0.14223571474992824,0.25758568531000386,32.409414996606074,0.07351670818581098,0.0,842.0,0.09310970139947115,0.4284931506849315,0.36712328767123287,0.2926027397260274,0.14575342465753424,0.45315068493150684,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.12213382573791735,0.10477488043027772,0.0,0.017358945307639637,0.07516696374449326,0.07190399906995892,-1.6910686277428089,1.8132024534807265
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.07579753427853164,-0.03864550465425687,0.13084034300447434,-0.34319113645363974,13.354775526735288,0.06903845259761346,0.0,275.0,0.0876979716758526,0.40684931506849314,0.363013698630137,0.27945205479452057,0.14794520547945206,0.3424657534246575,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06871904329902484,-0.07579753427853164,0.0,0.007078490979506802,0.07532699645195301,0.06281844873078712,-0.7670424043790175,0.6983233610799926
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.23908250441673307,0.0740720326209281,0.11400491799903467,0.7491321451500903,22.335837125840648,0.09032273382176767,0.0,432.0,0.07228783566656312,0.5068493150684932,0.3771689497716895,0.32146118721461187,0.1917808219178082,0.28401826484018267,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.229976934736223,0.23908250441673307,0.0,-0.009105569680510073,0.08838279955832068,0.09220335354838265,-1.0525601585889621,1.282537093325185
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10224975855703211,0.019661454899975617,0.1420815497821023,0.25300165257496243,31.71222832726031,0.07353450516263024,0.0,692.0,0.09310014263479625,0.46465753424657535,0.36602739726027395,0.2936986301369863,0.1473972602739726,0.4536986301369863,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.11977854474685072,0.10224975855703211,0.0,0.01752878618981861,0.07521338335606109,0.07189382463123847,-1.6910461267885482,1.8108246715353988
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.055854478230751514,-0.028328490811195706,0.13576499367340533,-0.31643618984026123,8.852331109815234,0.05095069864046449,0.0,256.0,0.08090291917651997,0.33424657534246577,0.27123287671232876,0.20136986301369864,0.10821917808219178,0.3726027397260274,0.26430159329244296,0.0,0.6438356164383562,0.3561643835616438,0.2821917808219178,0.17986322364883964,0.1347787210509038,0.0450845025979358,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.05096324925836818,-0.055854478230751514,0.0,0.004891228972383331,0.05729271165477218,0.044677808383805924,-0.5535351804322446,0.5025719311738766
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19256926126394913,0.06046059882673682,0.11708576470923193,0.6823223090635163,13.63890079067213,0.06871170739204409,0.0,383.0,0.06679616589933926,0.32968036529680367,0.2867579908675799,0.2493150684931507,0.15251141552511416,0.3360730593607306,0.27341086651290336,0.0,0.6547945205479452,0.3452054794520548,0.28036529680365296,0.20070787723369957,0.1567076969499363,0.04400018028376327,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.18877006374443633,0.19256926126394913,0.0,-0.003799197519512798,0.0662284392720644,0.07111904824936253,-0.8168560464887842,1.0056261102332205
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_5y_full,2021-05-18,2026-05-16,1825,0.060319043032243336,0.011782846584305284,0.13576499367340533,0.18657127789397238,20.326798920662988,0.05525482954475407,0.0,636.0,0.08972973441637815,0.3304109589041096,0.27616438356164386,0.2263013698630137,0.11287671232876713,0.5002739726027398,0.2692633197801046,0.0,0.6515068493150685,0.34849315068493153,0.2810958904109589,0.19156567744352085,0.1477912473751409,0.04377443006837994,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_E,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.07449409654127223,0.060319043032243336,0.0,0.014175053509028895,0.057160755504776416,0.05339226701394133,-1.2754749656908801,1.3499690622321523
segment_metrics,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.44490039634304246,-0.25494993211398365,0.7930253453633334,0.10274739407227075,0.0,1.0,0.0,0.0,0.46977675565264493,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,0.17896882028160732,-0.44490039634304246,0.0,0.6238692166246498,1.0,1.0,-11.730490544480467,11.909459364762077
segment_metrics,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19789585757249806,0.062037098862216755,0.6375196811651249,0.41454189990629514,0.0,1.0,0.0,0.0,0.24862694593512766,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.8087408675259184,0.19789585757249806,0.0,0.6108450099534204,1.0,1.0,-12.378189965040455,13.186930832566375
segment_metrics,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,-0.33504543778998397,-0.07836619932451394,0.7930253453633334,0.2646495106534417,0.0,1.0,0.0,0.0,0.4489747671795126,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.9877141828764351,-0.33504543778998397,0.0,1.3227596206664192,1.0,1.0,-24.108676014452016,25.09639019732845
segment_metrics,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.1085258250785669,-0.055820898917248285,0.5193367154482997,0.08658107045245496,0.5,0.49931506849315066,0.0,1.0,0.2547113348615249,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,0.07538544319173113,-0.1085258250785669,0.0,0.18391126827029802,0.5,0.4986376021798365,-5.865245272240234,5.940630715431966
segment_metrics,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.2873874051005849,0.0878518433765465,0.3778080637128194,0.42063302859612667,0.5,0.4995433789954338,0.0,1.0,0.12603256018259693,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.410286619305075,0.2873874051005849,0.0,0.12289921420449007,0.49907235621521334,0.5,-6.183178796978112,6.593465416283188
segment_metrics,reset_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,0.14088536915610428,0.026711442424711462,0.5193367154482997,0.2571294259174581,0.5,0.4997260273972603,0.0,1.0,0.21350644332799326,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
